"id","survey_pattern","created_at","gender","age","occupation","residence","residence_detail","visit_purpose_list","interested_sdgs_goal","current_sdgs_actions","sdgs_action_trigger","future_sdgs_interest","future_sdgs_actions","content_satisfaction","memorable_booth","learning_moments","learning_moments_detail","okayama_focus_areas","okayama_focus_other","sdgs_challenges","improvements"
"40","heavy","2025-08-07 03:59:28.61163+00","女性","高校生","学生","岡山県内","岡山市","[""ワークショップ""]","10. 人や国の不平等をなくそう","[""ゴミ分別""]","学校の授業","いいえ",,"{""展示"":""5"",""ステージ"":""3"",""ワークショップ"":""4"",""飲食"":""4"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""5""}","86：岡山南高校 商業クラブ","いいえ",,"[""健康・福祉・貧困""]",,"みんなにSDGsのことを知ってもらうこと",""
"41","heavy","2025-08-07 04:07:06.94191+00","女性","大学生","学生","岡山県内","北区","[""ワークショップ""]","10. 人や国の不平等をなくそう","[""ゴミ分別""]","学校の授業","はい","寄付","{""展示"":""5"",""ステージ"":""5"",""ワークショップ"":""5"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""飲食"":""5"",""全体"":""5""}","55：岡山大学　OU!万博","はい",,"[""５Ｒ""]",,"ゴミの分別、川の汚染",""
"42","heavy","2025-08-07 04:07:27.498167+00","女性","大学生","学生","岡山県内","岡山市北区","[""展示見学""]","8. 働きがいも経済成長も","[""節電・節水"",""公共交通機関の利用"",""マイバッグ・マイボトルの使用""]","学校の授業、講演","はい",,"{""展示"":""4"",""ステージ"":""4"",""ワークショップ"":""5"",""飲食"":""4"",""その他（ステンレスボトル回収・マイボトル持参など）"":""3"",""全体"":""4""}","55：岡山大学　OU!万博","はい",,"[""海ごみ問題""]",,"SDGsの認知度の低さ",""
"43","heavy","2025-08-07 04:07:29.907991+00","女性","大学生","学生","岡山県内","岡山市北区","[""ワークショップ""]","3. すべての人に健康と福祉を","[""フードロス削減""]","学校","いいえ",,"{""展示"":""5"",""ステージ"":""5"",""ワークショップ"":""5"",""飲食"":""5"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""5""}","55：岡山大学　OU!万博","はい",,"[""海ごみ問題""]",,"みんなが意識する",""
"44","heavy","2025-08-07 04:10:02.148086+00","女性","30代","会社員","岡山県外","高松市松島町","[""ワークショップ""]","3. すべての人に健康と福祉を","[""地産地消""]","会社で出会った方の声","いいえ",,"{""展示"":""4"",""ステージ"":""4"",""飲食"":""4"",""その他（ステンレスボトル回収・マイボトル持参など）"":""4"",""全体"":""4"",""ワークショップ"":""4""}","17：あなぶきハウジングサービス","はい","ゴミをエネルギーにしているところ","[""海ごみ問題""]",,"予算",""
"45","heavy","2025-08-07 04:10:27.247068+00","女性","50代","会社員","岡山県外","高松市","[""その他""]","3. すべての人に健康と福祉を","[""節電・節水"",""フードロス削減"",""地産地消"",""マイバッグ・マイボトルの使用"",""ゴミ分別""]","いろんなメディアで見聞きして","はい","持続可能な社会の実現","{""展示"":""1"",""飲食"":""1"",""ワークショップ"":""1"",""ステージ"":""1"",""その他（ステンレスボトル回収・マイボトル持参など）"":""1"",""全体"":""1""}","17：あなぶきハウジングサービス","いいえ",,"[""クリーンエネルギーへの転換""]",,"皆が関心を持つこと",""
"46","heavy","2025-08-07 04:10:33.769169+00","男性","40代","会社員","岡山県内","中区","[""展示見学"",""ワークショップ""]","8. 働きがいも経済成長も","[""フードロス削減"",""ゴミ分別"",""ペーパーレス化""]","イノシシの革が捨てられているのがもったいなく製品化した","いいえ",,"{""展示"":""4"",""ワークショップ"":""4"",""飲食"":""4"",""ステージ"":""4"",""その他（ステンレスボトル回収・マイボトル持参など）"":""4"",""全体"":""4""}","94：社会福祉法人 旭川荘 吉備ワークホーム","いいえ",,"[""環境保全""]",,"みんなが問題をかんがえないといけない",""
"47","heavy","2025-08-07 04:16:21.164624+00","女性","50代","教職員","岡山県内","岡山市北区","[""展示見学"",""ワークショップ"",""ステージ・講演""]","4. 質の高い教育をみんなに","[""節電・節水"",""フードロス削減"",""ペーパーレス化"",""ゴミ分別""]","SNS等のメディア","はい","公共交通機関の利用","{""展示"":""5"",""ワークショップ"":""5"",""ステージ"":""5"",""飲食"":""5"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""5""}","19：アサヒ飲料株式会社中四国支社","はい",,"[""海ごみ問題"",""森林の有効活用"",""クリーンエネルギーへの転換"",""健康・福祉・貧困"",""フードロス"",""多様性・共生社会"",""環境保全""]",,"温暖化、気温の上昇。異常気象",""
"48","heavy","2025-08-07 04:19:36.111644+00","男性","大学生","学生","岡山県内","岡山市北区伊島町","[""ワークショップ"",""展示見学""]","10. 人や国の不平等をなくそう","[""節電・節水"",""公共交通機関の利用"",""地産地消""]","大学の講義でらSDGsについて学んだことがきっかけです。","はい","全ての人々が自由な恋愛などできる社会づくり","{""展示"":""4"",""ステージ"":""4"",""ワークショップ"":""5"",""飲食"":""3"",""その他（ステンレスボトル回収・マイボトル持参など）"":""3"",""全体"":""4""}","65：オーエム機器株式会社","はい",,"[""森林の有効活用""]",,"国の貧困差をなくすべきなのに貧困の差が国内外で広がっているということ",""
"49","heavy","2025-08-07 04:20:02.838882+00","女性","60代","主婦","岡山県内","岡山市東区","[""ステージ・講演""]","10. 人や国の不平等をなくそう","[""節電・節水"",""フードロス削減"",""ゴミ分別""]","ゴミの量が増えているので","いいえ",,"{""展示"":""5"",""ステージ"":""5"",""飲食"":""5"",""ワークショップ"":""5"",""その他（ステンレスボトル回収・マイボトル持参など）"":""5"",""全体"":""5""}","41：一般社団法人DESIGN GOALs","いいえ",,"[""海ごみ問題"",""健康・福祉・貧困""]",,"個人個人の意識改革",""
